DATA (YYYY-MM-DD),Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",ESTACAO
2017-01-01,00:00,0.0,910.9,910.9,910.4,,22.9,18.0,23.5,22.9,18.0,17.7,74.0,70.0,74.0,334.0,3.8,1.8,A807
2017-01-01,01:00,0.0,910.6,910.9,910.5,,22.0,17.9,22.9,22.0,18.2,17.9,78.0,74.0,78.0,293.0,4.0,1.4,A807
2017-01-01,02:00,0.0,910.2,910.6,910.2,,21.5,18.0,22.0,21.5,18.1,17.9,81.0,78.0,81.0,275.0,3.6,1.2,A807
2017-01-01,03:00,0.0,910.3,910.4,910.1,,21.2,17.9,21.5,21.2,18.1,17.9,82.0,81.0,82.0,252.0,2.0,0.0,A807
2017-01-01,04:00,0.0,910.2,910.4,910.0,,21.3,17.2,21.5,21.1,17.9,17.1,82.0,77.0,77.0,290.0,2.5,1.5,A807
2017-01-01,05:00,0.0,909.6,910.2,909.6,,21.2,17.7,21.3,21.1,17.7,17.1,81.0,77.0,81.0,255.0,2.5,1.4,A807
2017-01-01,06:00,0.0,909.4,909.7,909.4,,20.8,20.2,21.2,20.8,20.2,17.7,96.0,81.0,96.0,235.0,3.7,1.3,A807
2017-01-01,07:00,0.4,908.9,909.4,908.4,,20.4,,20.8,20.4,,,,,,288.0,3.9,1.8,A807
2017-01-01,08:00,0.0,909.4,909.4,908.9,1.4,20.5,,20.6,20.4,,,,,,266.0,6.7,3.2,A807
2017-01-01,09:00,0.0,910.2,910.2,909.4,119.9,20.7,,20.7,20.5,,,,,,270.0,6.6,3.1,A807
2017-01-01,10:00,0.0,910.2,910.2,910.1,550.5,21.7,18.2,21.8,20.7,20.7,18.2,99.0,81.0,81.0,281.0,6.6,3.6,A807
